date,sales,region,sku
2023-02-05,204,West,SKU9
2023-10-02,209,East,SKU3
2022-02-02,194,North,SKU9
2023-11-19,200,South,SKU4
2023-04-05,187,North,SKU13
2023-04-15,218,East,SKU19
2023-01-10,195,West,SKU12
2022-01-22,183,North,SKU12
2023-11-01,210,West,SKU15
2022-02-07,211,West,SKU12
2022-08-18,201,North,SKU2
2022-12-31,180,East,SKU12
2023-07-17,186,South,SKU7
2023-03-14,196,East,SKU7
2022-10-10,210,North,SKU18
2022-01-27,193,West,SKU12
2022-08-14,200,East,SKU18
2022-10-04,218,South,SKU6
2023-09-01,187,West,SKU8
2022-10-11,203,South,SKU17
2023-04-26,199,West,SKU15
2023-03-29,186,South,SKU12
2023-10-21,196,South,SKU7
2023-05-31,224,North,SKU13
2023-07-01,173,North,SKU12
2022-07-11,186,West,SKU16
2022-02-18,202,North,SKU19
2023-05-27,202,North,SKU10
2022-01-17,229,South,SKU16
2022-06-21,225,West,SKU12
2022-08-08,212,South,SKU3
2022-06-07,207,North,SKU4
2023-04-22,200,North,SKU1
2022-02-15,204,East,SKU4
2023-01-08,173,South,SKU4
2023-06-02,203,North,SKU3
2022-04-09,189,West,SKU18
2022-02-06,189,West,SKU18
2022-10-07,203,North,SKU8
2022-12-15,195,North,SKU8
2023-05-12,206,North,SKU7
2022-10-29,216,West,SKU8
2022-06-30,194,North,SKU16
2023-08-30,200,South,SKU3
2022-04-09,197,East,SKU15
2023-12-01,207,East,SKU18
2022-04-26,219,East,SKU11
2022-07-10,182,South,SKU2
2022-09-10,207,North,SKU19
2022-06-10,201,East,SKU16
2022-09-13,228,West,SKU6
2022-11-19,184,North,SKU9
2022-05-08,218,West,SKU15
2022-01-18,216,East,SKU9
2023-07-20,220,South,SKU10
2023-07-24,210,East,SKU2
2022-11-19,220,East,SKU15
2023-11-17,217,North,SKU1
2023-09-18,183,North,SKU6
2022-10-15,198,East,SKU13
2023-10-25,200,South,SKU20
2023-10-01,216,West,SKU7
2022-06-04,192,West,SKU17
2023-05-05,202,South,SKU19
2023-01-21,199,North,SKU17
2022-04-14,186,East,SKU1
2023-01-28,196,East,SKU17
2022-09-03,218,East,SKU7
2022-06-25,224,West,SKU3
2022-02-08,210,South,SKU4
2023-04-22,189,South,SKU14
2023-11-13,190,East,SKU12
2023-06-22,215,East,SKU7
2023-02-12,222,South,SKU14
2023-06-09,195,West,SKU13
2023-05-21,225,North,SKU17
2022-02-05,202,East,SKU5
2023-11-16,190,South,SKU8
2022-01-20,196,West,SKU11
2022-11-17,210,North,SKU15
2023-05-27,222,South,SKU15
2023-02-04,177,East,SKU13
2023-10-16,192,South,SKU7
2023-04-16,208,West,SKU17
2022-05-23,199,East,SKU18
2022-04-02,212,South,SKU12
2022-12-20,205,South,SKU15
2023-12-28,185,East,SKU5
2022-02-20,198,East,SKU19
2023-10-27,183,West,SKU8
2023-11-29,180,East,SKU4
2023-07-29,203,West,SKU5
2022-07-09,214,South,SKU8
2022-05-05,208,East,SKU19
2022-05-30,194,West,SKU19
2022-11-10,200,South,SKU2
2023-07-24,208,North,SKU6
2022-12-08,188,South,SKU18
2022-11-01,203,East,SKU17
2023-11-23,199,West,SKU17
2023-11-13,187,North,SKU17
2022-02-23,181,West,SKU15
2023-03-20,203,West,SKU7
2023-09-05,194,North,SKU5
2022-09-21,206,North,SKU19
2022-02-22,216,West,SKU7
2023-07-26,184,East,SKU2
2023-09-12,188,North,SKU15
2022-01-05,181,East,SKU14
2022-04-13,202,North,SKU6
2022-07-15,174,West,SKU7
2022-12-16,199,North,SKU9
2022-02-16,225,West,SKU2
2023-10-18,218,North,SKU20
2022-09-26,192,North,SKU1
2023-01-05,196,North,SKU18
2023-09-28,198,South,SKU12
2022-04-16,188,North,SKU7
2023-11-01,232,South,SKU11
2023-10-21,209,East,SKU12
2023-10-19,200,East,SKU18
2022-04-30,206,North,SKU5
2023-08-27,196,East,SKU1
2022-02-27,227,North,SKU1
2022-12-12,180,South,SKU9
2023-04-19,225,East,SKU1
2022-04-27,208,West,SKU12
2022-05-07,160,North,SKU17
2023-01-28,195,North,SKU16
2023-10-03,204,East,SKU17
2022-02-27,195,East,SKU7
2023-09-26,200,East,SKU3
2023-05-28,196,North,SKU9
2022-04-06,192,West,SKU3
2023-09-30,193,North,SKU16
2022-04-28,199,North,SKU16
2023-07-14,195,South,SKU10
2023-08-24,195,North,SKU8
2023-05-03,214,North,SKU16
2022-08-25,225,North,SKU16
2022-09-29,190,West,SKU6
2022-07-08,202,East,SKU4
2023-12-05,184,North,SKU15
2023-03-23,201,South,SKU3
2023-08-04,187,South,SKU17
2022-09-04,184,East,SKU15
2022-03-17,209,South,SKU20
2022-06-03,187,South,SKU9
2023-10-18,192,West,SKU13
2023-03-11,202,North,SKU1
2022-03-27,204,North,SKU12
2023-11-28,196,North,SKU17
2022-10-12,184,North,SKU14
2022-08-08,202,North,SKU1
2022-03-10,227,South,SKU10
2022-02-16,219,West,SKU14
2022-04-04,214,North,SKU15
2023-03-29,191,South,SKU11
2022-07-23,190,East,SKU19
2022-08-06,206,South,SKU11
2023-04-19,244,West,SKU19
2023-03-08,222,North,SKU11
2022-12-07,202,North,SKU19
2023-07-05,201,North,SKU7
2023-09-04,196,West,SKU7
2022-10-16,223,East,SKU6
2022-09-11,197,East,SKU9
2022-12-23,194,South,SKU18
2022-01-23,193,South,SKU6
2023-06-06,192,North,SKU14
2022-04-10,194,North,SKU9
2022-06-29,203,North,SKU3
2022-08-11,200,South,SKU3
2023-10-21,192,North,SKU8
2023-03-18,174,South,SKU12
2023-08-31,213,South,SKU18
2022-11-21,196,West,SKU1
2023-05-31,224,North,SKU19
2022-01-16,212,North,SKU12
2022-12-02,183,South,SKU20
2022-09-15,185,South,SKU16
2023-05-12,205,South,SKU9
2022-06-09,196,West,SKU6
2023-04-20,177,West,SKU6
2023-10-26,196,South,SKU7
2023-11-21,206,West,SKU14
2023-11-06,221,West,SKU16
2023-01-15,189,East,SKU3
2023-06-29,194,North,SKU1
2023-11-22,192,South,SKU20
2023-03-03,184,East,SKU17
2023-09-05,194,East,SKU1
2022-09-25,193,West,SKU5
2023-07-31,202,South,SKU17
2023-02-21,201,West,SKU5
2022-06-17,191,East,SKU11
2022-02-12,196,East,SKU3
2023-07-10,207,East,SKU10
2022-10-12,187,North,SKU14
2023-02-01,202,South,SKU19
2022-01-12,190,North,SKU11
2023-08-30,206,East,SKU1
2022-10-29,223,East,SKU12
2022-09-10,193,East,SKU20
2023-05-14,194,North,SKU2
2022-02-04,193,West,SKU1
2023-12-28,183,South,SKU15
2022-03-31,205,West,SKU13
2023-08-28,175,West,SKU13
2023-08-25,182,East,SKU13
2023-02-22,187,North,SKU17
2022-04-25,200,West,SKU6
2023-09-09,199,North,SKU12
2022-07-15,215,North,SKU15
2023-05-16,210,North,SKU3
2023-09-18,213,South,SKU6
2023-05-08,199,West,SKU3
2022-03-16,191,East,SKU12
2023-02-17,206,East,SKU11
2023-01-11,197,South,SKU6
2023-02-24,187,West,SKU11
2023-12-30,209,East,SKU17
2022-10-04,222,North,SKU4
2023-11-07,209,East,SKU11
2023-01-29,195,West,SKU13
2023-04-02,201,North,SKU16
2022-07-11,183,South,SKU6
2023-11-20,191,East,SKU20
2022-04-09,196,East,SKU6
2023-07-02,199,South,SKU17
2022-04-06,180,West,SKU3
2023-10-26,213,North,SKU7
2023-10-25,188,East,SKU1
2022-07-09,217,West,SKU12
2022-02-06,201,North,SKU18
2023-01-04,181,East,SKU13
2023-11-26,202,West,SKU3
2023-06-09,179,West,SKU20
2022-10-06,165,South,SKU6
2022-08-05,182,East,SKU14
2022-09-30,213,North,SKU14
2022-03-03,198,East,SKU9
2023-08-19,205,South,SKU13
2023-12-30,175,North,SKU1
2022-12-08,223,West,SKU4
2023-02-01,173,South,SKU13
2023-11-30,195,North,SKU20
2022-01-19,202,North,SKU6
2022-06-26,221,East,SKU1
2023-09-04,208,West,SKU14
2023-01-31,208,South,SKU1
2023-03-21,203,West,SKU10
2022-08-21,221,South,SKU17
2022-03-17,186,East,SKU19
2022-09-22,224,North,SKU17
2023-03-31,212,East,SKU20
2023-12-19,223,South,SKU7
2023-01-19,194,West,SKU9
2023-07-18,223,North,SKU12
2023-05-21,203,South,SKU20
2023-01-02,206,North,SKU13
2022-05-24,193,North,SKU2
2022-03-10,207,East,SKU12
2022-04-09,177,South,SKU19
2023-01-31,178,West,SKU17
2022-01-25,193,East,SKU2
2023-04-14,224,East,SKU2
2023-04-29,209,East,SKU6
2023-07-19,211,South,SKU7
2022-05-31,198,South,SKU5
2022-05-24,192,North,SKU12
2023-07-23,197,North,SKU11
2022-02-08,188,North,SKU10
2022-04-19,204,North,SKU17
2023-11-24,194,East,SKU8
2022-02-11,188,West,SKU10
2022-07-05,179,North,SKU12
2023-02-02,206,South,SKU2
2022-08-11,208,North,SKU8
2023-09-26,191,South,SKU6
2022-05-13,214,West,SKU1
2022-06-12,213,East,SKU13
2022-08-03,196,West,SKU14
2022-08-23,226,West,SKU10
2023-10-20,198,East,SKU9
2023-08-11,187,South,SKU11
2022-01-09,202,West,SKU16
2022-03-15,208,East,SKU8
2023-05-07,199,South,SKU15
2022-09-10,195,South,SKU14
2022-08-18,209,South,SKU4
2023-06-03,189,East,SKU12
2022-06-23,196,North,SKU17
2023-10-15,228,East,SKU18
2022-06-17,212,West,SKU5
2022-06-19,191,East,SKU8
2023-01-28,213,East,SKU5
2023-09-26,192,West,SKU3
2022-07-13,186,East,SKU16
2023-06-01,204,East,SKU2
2022-01-29,210,West,SKU4
2022-06-14,198,North,SKU3
2023-02-26,236,North,SKU12
2022-12-05,199,South,SKU9
2023-10-10,200,North,SKU19
2023-05-11,223,East,SKU13
2022-12-31,205,West,SKU14
2022-12-08,198,South,SKU9
2023-05-15,173,East,SKU5
2023-10-19,197,South,SKU8
2023-05-26,191,West,SKU1
2022-11-23,206,East,SKU16
2022-08-05,214,South,SKU13
2022-10-28,176,South,SKU10
2022-05-12,201,North,SKU9
2022-03-11,182,South,SKU16
2022-09-09,209,North,SKU9
2023-02-19,198,North,SKU12
2023-03-21,197,West,SKU4
2022-07-01,190,North,SKU9
2022-06-16,200,South,SKU18
2022-04-01,199,North,SKU16
2023-12-15,193,North,SKU2
2023-06-15,200,South,SKU14
2022-02-08,219,West,SKU4
2022-05-06,199,West,SKU11
2023-03-27,218,South,SKU4
2022-06-22,205,East,SKU2
2023-10-15,196,East,SKU15
2022-08-08,184,South,SKU18
2023-09-30,187,North,SKU9
2022-02-27,202,South,SKU12
2023-10-22,204,South,SKU5
2023-04-21,190,East,SKU7
2023-04-01,216,East,SKU12
2022-12-27,186,South,SKU5
2022-01-01,194,North,SKU19
2023-01-22,191,West,SKU3
2022-12-14,209,South,SKU15
2022-07-09,219,South,SKU19
2023-05-20,183,West,SKU17
2022-07-10,198,East,SKU3
2023-05-23,195,North,SKU20
2023-01-04,206,East,SKU15
2023-02-13,195,West,SKU6
2022-04-27,192,West,SKU11
2022-05-14,218,West,SKU14
2022-02-27,186,West,SKU4
2023-07-10,198,North,SKU3
2023-11-16,184,South,SKU8
2023-11-03,205,South,SKU3
2022-06-22,213,West,SKU4
2022-05-29,206,North,SKU4
2022-03-21,203,West,SKU14
2022-08-01,181,North,SKU12
2022-07-22,208,South,SKU3
2022-08-17,228,North,SKU20
2023-11-07,228,South,SKU8
2022-08-15,232,North,SKU19
2023-10-21,198,East,SKU14
2023-06-16,188,North,SKU1
2023-03-17,213,West,SKU20
2023-02-06,200,East,SKU14
2022-02-16,206,East,SKU19
2022-08-21,226,East,SKU7
2022-11-01,209,East,SKU13
2023-06-10,219,East,SKU9
2022-05-23,217,East,SKU16
2023-02-19,211,East,SKU16
2023-05-28,167,North,SKU8
2023-01-08,185,West,SKU8
2023-07-20,195,North,SKU18
2022-09-16,204,East,SKU2
2023-10-18,231,East,SKU2
2023-04-16,185,East,SKU10
2022-01-12,209,North,SKU17
2022-11-26,205,West,SKU8
2022-12-24,216,West,SKU8
2023-02-12,188,North,SKU5
2023-10-30,197,South,SKU3
2023-01-08,206,South,SKU1
2022-01-08,220,West,SKU20
2022-05-02,194,South,SKU7
2022-12-14,207,North,SKU7
2023-11-07,221,West,SKU13
2022-03-31,206,West,SKU6
2023-10-10,198,North,SKU13
2023-11-29,212,North,SKU2
2022-11-12,209,North,SKU2
2022-06-27,194,East,SKU2
2023-06-24,188,South,SKU15
2022-02-10,229,South,SKU15
2023-12-05,180,West,SKU18
2023-05-17,210,South,SKU5
2022-05-25,209,West,SKU14
2022-07-20,213,West,SKU5
2023-12-25,189,East,SKU8
2023-04-06,202,West,SKU11
2023-07-12,227,East,SKU8
2023-07-01,188,South,SKU6
2022-09-10,218,East,SKU4
2023-01-25,189,North,SKU20
2023-08-17,205,East,SKU3
2022-09-13,185,West,SKU12
2023-12-10,237,South,SKU11
2023-03-26,192,West,SKU5
2022-01-10,210,South,SKU8
2022-08-30,207,West,SKU11
2022-09-08,210,East,SKU11
2022-01-05,195,West,SKU20
2022-04-29,190,North,SKU3
2023-01-09,194,North,SKU11
2022-03-06,218,South,SKU6
2022-05-26,214,South,SKU6
2022-08-12,203,East,SKU18
2022-08-27,185,West,SKU5
2022-06-26,218,North,SKU5
2022-10-09,189,East,SKU19
2022-03-04,220,South,SKU5
2022-08-05,194,East,SKU1
2023-11-20,211,South,SKU1
2023-04-06,187,South,SKU7
2023-09-02,204,East,SKU9
2022-04-15,191,West,SKU16
2022-04-09,201,East,SKU9
2023-05-26,200,South,SKU12
2023-01-20,189,North,SKU11
2023-02-09,182,West,SKU12
2023-06-02,193,West,SKU10
2023-04-21,196,North,SKU9
2023-12-10,213,West,SKU13
2023-10-07,200,South,SKU12
2023-03-13,219,East,SKU9
2022-01-23,184,South,SKU19
2023-07-19,193,West,SKU4
2023-11-08,208,North,SKU1
2023-12-15,205,West,SKU13
2023-04-03,213,South,SKU2
2022-03-24,191,West,SKU8
2022-05-25,194,West,SKU12
2022-03-26,197,South,SKU13
2022-03-19,184,West,SKU13
2023-04-02,202,South,SKU1
2022-01-01,199,North,SKU8
2022-02-20,210,West,SKU5
2023-11-16,181,North,SKU19
2023-12-18,195,East,SKU20
2023-03-22,205,West,SKU17
2023-03-25,183,East,SKU19
2023-05-03,205,North,SKU2
2022-02-03,198,North,SKU12
2022-12-14,193,South,SKU1
2022-04-05,193,East,SKU12
2022-03-13,198,East,SKU19
2023-07-05,205,South,SKU12
2022-06-03,162,East,SKU1
2022-09-07,196,North,SKU3
2023-11-05,191,North,SKU1
2023-03-14,191,North,SKU1
2022-04-28,183,North,SKU9
2022-11-02,195,West,SKU1
2022-09-25,209,South,SKU12
2022-02-23,208,West,SKU5
2022-08-24,180,West,SKU15
2023-01-24,187,East,SKU15
2023-02-05,224,South,SKU15
2023-09-16,185,West,SKU17
2022-10-30,191,West,SKU9
2022-07-26,230,South,SKU14
2022-08-17,187,North,SKU18
2023-08-01,209,South,SKU16
2022-03-16,186,South,SKU9
2023-03-11,198,South,SKU15
2022-04-13,190,North,SKU20
2023-02-26,204,South,SKU15
2023-12-05,203,North,SKU9
2022-11-02,224,West,SKU2
2022-04-08,192,West,SKU11
2022-12-01,205,North,SKU3
2023-03-11,194,East,SKU10
2023-03-23,203,South,SKU9
2022-11-04,188,West,SKU16
2022-09-06,201,West,SKU10
2022-06-15,174,North,SKU8
2023-04-26,179,East,SKU4
2022-12-01,203,East,SKU8
2023-06-26,236,East,SKU15
2022-04-16,210,North,SKU10
2023-07-17,187,North,SKU12
2022-03-22,176,South,SKU15
2022-05-13,193,West,SKU1
2022-05-18,204,West,SKU8
2022-07-03,191,North,SKU20
2023-02-05,196,West,SKU15
2022-11-26,216,South,SKU15
2023-05-23,179,North,SKU11
2022-03-10,203,West,SKU16
2023-06-30,206,East,SKU10
2022-02-22,206,North,SKU4
2023-03-26,189,West,SKU10
2022-07-24,236,West,SKU18
2022-05-06,197,South,SKU17
2022-02-12,212,South,SKU16
2022-04-21,192,East,SKU20
2023-10-25,183,East,SKU7
2022-07-02,184,East,SKU19
2022-04-05,162,South,SKU19
2023-01-09,208,West,SKU5
2023-06-04,213,North,SKU10
2022-12-26,222,North,SKU4
2023-11-27,210,South,SKU7
2022-10-08,194,South,SKU18
2022-07-14,195,South,SKU11
2022-07-14,202,South,SKU1
2023-10-29,227,North,SKU4
2022-04-03,205,East,SKU16
2023-11-03,187,North,SKU1
2022-03-02,205,South,SKU1
2023-09-26,194,East,SKU17
2022-02-20,206,North,SKU2
2023-02-07,222,South,SKU3
2022-01-05,181,South,SKU17
2023-04-11,191,West,SKU2
2023-08-27,199,West,SKU2
2023-11-13,205,South,SKU8
2023-06-18,202,North,SKU7
2023-02-09,208,West,SKU19
2023-05-28,191,North,SKU19
2023-10-07,201,North,SKU11
2022-08-21,203,West,SKU11
2023-06-08,203,South,SKU19
2022-12-12,207,West,SKU11
2022-02-15,217,North,SKU13
2023-06-30,210,East,SKU3
2022-03-19,202,West,SKU1
2023-12-31,206,East,SKU5
2022-03-14,199,South,SKU3
2022-09-06,226,West,SKU3
2022-02-16,214,East,SKU12
2022-05-01,222,South,SKU4
2022-08-02,209,North,SKU18
2022-08-27,201,South,SKU18
2022-02-25,187,South,SKU19
2022-12-16,206,North,SKU4
2022-04-17,180,South,SKU2
2022-02-17,192,West,SKU5
2023-07-27,197,South,SKU12
2022-12-03,196,East,SKU9
2022-01-26,198,South,SKU12
2022-09-14,182,East,SKU13
2022-01-08,201,South,SKU13
2023-09-17,184,West,SKU18
2022-09-10,226,North,SKU19
2023-11-23,183,North,SKU20
2023-12-20,170,East,SKU1
2022-10-30,212,South,SKU12
2023-10-01,206,South,SKU2
2022-02-25,184,West,SKU4
2023-12-27,215,South,SKU5
2023-06-10,188,East,SKU20
2023-04-19,214,East,SKU10
